OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
62,62,1,61,0,8900875.45911,18609.4958129,211,8,16,1,3, 4,04-31,04031,04,31,18609.4958158,10,HIGH SCHOOLS,04-31 Walter Johnson HS,30,1275372.5001048,494857.937443629,04-31,Walter Johnson HS, 6400 Rock Spring Dr Bethesda MD 20814,-77.1301017225999,39.0253918855,Bethesda MD 20814,6400 Rock Spring Dr,-77.1301017225999,18609.495815823,8900875.42124796,39.0253918855
63,63,1,62,0,11235139.7475,20207.4931016,210,8,18,1,3, 4,04-04,04004,04,04,20207.4920004,165,PRIVATE,04-04 Parkside Clubhouse North,177,1284922.90830325,496258.523258165,04-04,Parkside Clubhouse North, 10522 Montrose Ave Bethesda MD 20814,-77.0964896321072,39.0292699922103,BETHESDA MD 20814,10522 MONTROSE AVE,-77.0964896321072,20207.4920003676,11235139.644067,39.0292699922103
64,64,1,63,0,154139393.096,65755.85768,209,8,16,1,3,10,10-02,10002,10,02,65755.8577353,228,PRIVATE,10-02 Potomac Presbyterian Ch,219,1252030.809931,493258.759797499,10-02,Potomac Presbyterian CH, 10301 River Rd Potomac MD 20854,-77.2122508861216,39.0208808786891,POTOMAC MD 20854,10301 RIVER RD,-77.2122508861216,65755.8577352007,154139393.648095,39.0208808786891
65,65,1,64,0,31975355.3393,27236.959785,208,6,15,1,3,10,10-04,10004,10,04,27236.9600081,53,MIDDLE SCHOOLS,10-04 Cabin John MS,116,1263467.62505592,497130.812504321,10-04,Cabin John MS, 10701 Gainsborough Rd Potomac MD 20854,-77.1720217393999,39.0315783821002,Potomac MD 20854,10701 Gainsborough Rd,-77.1720217393999,27236.9600081693,31975355.2917802,39.0315783821002
66,66,1,65,0,47948554.3034,33066.6374012,207,3,20,5,5, 5,05-03,05003,05,03,33066.6383906,129,MIDDLE SCHOOLS,05-03 Francis Scott Key MS,37,1314545.87508273,495641.968704805,05-03,Francis Scott Key MS, 910 Schindler Dr Silver Spring MD 20903,-76.9922116368998,39.0276166438001,Silver Spring MD 20903,910 Schindler Dr,-76.9922116368998,33066.6383906202,47948554.4036368,39.0276166438001
67,67,1,66,0,9743065.51991,13867.5273722,206,8,20,5,4,13,13-42,13042,13,42,13867.527378,203,PRIVATE,13-42 The Arc Montgomery Karasik Ctr,148,1304847.08033757,496771.003017381,13-42,The Arc Montgomery Karasik Center, 10611 Tenbrook Dr Silver Spring MD 20901,-77.0263534885241,39.0307139059377,Silver Spring MD 20901,10611 Tenbrook Dr,-77.0263534885241,13867.5273779997,9743065.55456552,39.0307139059377
68,68,1,67,0,19074591.346,21572.4478132,205,8,18,1,3,13,13-34,13034,13,34,21572.44753,201,PRIVATE,13-34 Kensington Town Hall,232,1291022.31183536,494998.915214941,13-34,Kensington Town Hall, 3710 Mitchell St Kensington MD 20895,-77.0750150007449,39.0258272399528,KENSINGTON MD 20895,3710 MITCHELL ST,-77.0750150007449,21572.4475300252,19074591.3625836,39.0258272399528
69,69,1,68,0,21770390.0435,21804.5913371,204,6,15,1,3,10,10-11,10011,10,11,21804.5912994,196,PRIVATE,10-11 Pauline Betz Addie Tennis Ctr,221,1267125.00810167,494548.814853832,10-11,Pauline Betz Addie Tennis Center, 7801 Democracy Blvd Bethesda MD 20817,-77.1591308526865,39.0245072597569,BETHESDA MD 20817,7801 DEMOCRACY BLVD,-77.1591308526865,21804.5912993394,21770390.2037001,39.0245072597569
70,70,1,69,0,1260299.36854,5333.35241024,203,8,19,4,4,13,13-57,13057,13,57,5333.35246317,211,PRIVATE,13-57 Arcola Towers,269,1303625.30121833,499722.150656134,13-57,Arcola Towers, 1135 University Blvd W Silver Spring MD 20902,-77.030657946139,39.0388157629371, Silver Spring MD 20902,1135 UNIVERSITY BLVD W,-77.030657946139,5333.35246316186,1260299.39270634,39.0388157629371
71,71,1,70,0,21218958.2258,20029.3976573,202,8,19,5,4,13,13-11,13011,13,11,20029.3972494,116,ELEMENTARY SCHOOLS,13-11 Forest Knolls ES,131,1306533.00017317,497716.249913454,13-11,Forest Knolls ES, 10830 Eastwood Ave Silver Spring MD 20901,-77.0204193722999,39.0333104381002,Silver Spring MD 20901,10830 Eastwood Ave,-77.0204193722999,20029.3972493568,21218958.1834159,39.0333104381002
72,73,1,72,0,13589660.0827,16606.6535189,200,8,18,4,4,13,13-59,13059,13,59,16606.6533808,212,PRIVATE,13-59 Stephen Knolls School,261,1297806.97565022,497914.857757896,13-59,Stephen Knolls School, 10731 St Margarets Way Kensington MD 20895,-77.0511386748367,39.0338463613663,Kensington MD 20895,10731 ST MARGARETS WAY,-77.0511386748367,16606.6533808378,13589660.1693108,39.0338463613663
73,94,1,93,0,15450213.6637,20333.2559835,179,8,18,4,4,13,13-30,13030,13,30,20333.2560385,4,PRIVATE,13-30 Holiday Park Snr Ctr,259,1290266.17013992,504143.409944162,13-30,Holiday Park Senior Center, 3950 Ferrara Dr Wheaton MD 20906,-77.077704024285,39.0509333239899,SILVER SPRING MD 20906,3950 FERRARA DR,-77.077704024285,20333.2560384664,15450213.5106066,39.0509333239899
74,95,1,94,0,4868172.54385,15406.5311679,178,3,14,5,5, 5,05-04,05004,05,04,15406.5309272,171,PRIVATE,05-04 Riderwood Village,191,1326244.48101412,503166.914839819,05-04,RIDERWOOD VILLAGE, 3120 Gracefield Rd Silver Spring MD 20904,-76.9510171927719,39.0482677296781,SILVER SPRING MD 20904,3120 GRACEFIELD RD,-76.9510171927719,15406.5309271862,4868172.73540494,39.0482677296781
75,101,1,100,0,38727049.9348,28831.5582942,172,6,15,1,3,10,10-06,10006,10,06,28831.5581521,224,ELEMENTARY SCHOOLS,10-06 Wayside ES,113,1253745.02999134,502969.779854596,10-06,Wayside ES, 10011 Glen Rd Potomac MD 20854,-77.2062944915357,39.0475549478999,Potomac MD 20854,10011 Glen Rd,-77.2062944915357,28831.5581521508,38727050.0101508,39.0475549478999
76,103,1,102,0,42823277.8154,33748.5382052,170,3,20,5,5, 5,05-06,05006,05,06,33748.5383998,134,MIDDLE SCHOOLS,05-06 White Oak MS,41,1313681.19439295,506105.170183197,05-06,White Oak MS, 12201 New Hampshire Ave Silver Spring MD 20904,-76.9952534823489,39.0563453560006,Silver Spring MD 20904,12201 New Hampshire Ave,-76.9952534823489,33748.5383997458,42823277.5221288,39.0563453560006
77,104,1,103,0,33960632.3974,28521.9460249,169,8,19,4,4,13,13-63,13063,13,63,28521.9453186,128,ELEMENTARY SCHOOLS,13-63 Glenallan ES,167,1300590.36114448,507884.17023471,13-63,Glenallan ES, 12520 Heurich Rd Silver Spring MD 20902,-77.0413559290663,39.0612226862471,Silver Spring MD 20902,12520 Heurich Rd,-77.0413559290663,28521.945318602,33960632.3480341,39.0612226862471
78,105,1,104,0,28428112.5018,33748.5934386,168,8,19,4,4,13,13-20,13020,13,20,33748.5916315,123,MIDDLE SCHOOLS,13-20 Col E Brooke Lee MS,134,1303614.62493926,503650.906181008,13-20,Col E Brooke Lee MS, 11800 Monticello Ave Silver Spring MD 20902,-77.0307001852,39.0496028325002,Silver Spring MD 20902,11800 Monticello Ave,-77.0307001852,33748.5916314899,28428112.6500446,39.0496028325002
79,106,1,105,0,13119206.5246,17743.1224292,167,8,18,4,4,13,13-28,13028,13,28,17743.122984,143,HIGH SCHOOLS,13-28 Wheaton HS,228,1293472.19453721,508156.069440797,13-28,Wheaton HS, 12401 Dalewood Dr Silver Spring MD 20906,-77.0664250926733,39.0619576921516,SILVER SPRING MD 20906,12401 DALEWOOD DR,-77.0664250926733,17743.1229840041,13119206.5367081,39.0619576921516
80,97,1,96,0,60498540.3758,38711.2881562,176,3,20,5,5, 5,05-13,05013,05,13,38711.2886641,172,PRIVATE,05-13 White Oak Comm Rec Ctr,193,1319398.8966389,502313.382272422,05-13,White Oak Community Rec Center, 1700 April Ln Silver Spring MD 20904,-76.9751221276388,39.0459318133132,SILVER SPRING MD 20904,1700 APRIL LN,-76.9751221276388,38711.2886641679,60498540.0850352,39.0459318133132
81,79,1,78,0,25205813.3553,25695.3083941,194,6,15,1,3,10,10-13,10013,10,13,25695.3078812,197,PRIVATE,10-13 Potomac Comm Ctr,117,1258036.99969025,500588.000716463,10-13,Potomac Community Center, 11315 Falls Rd Potomac MD 20854,-77.1911645785502,39.0410410293686,Potomac MD 20854,11315 Falls Rd,-77.1911645785502,25695.3078811132,25205813.4133527,39.0410410293686
82,80,1,79,0,24837149.9087,22354.2388866,193,6,15,1,3,10,10-05,10005,10,05,22354.2393229,52,MIDDLE SCHOOLS,10-05 Herbert Hoover MS,115,1261597.74990714,501971.250000387,10-05,Herbert Hoover MS, 8810 Postoak Rd Potomac MD 20854,-77.1786375803999,39.0448587758002,Potomac MD 20854,8810 Post Oak Rd,-77.1786375803999,22354.2393229453,24837150.0049883,39.0448587758002
83,82,1,81,0,16401569.3908,19776.3703864,196,8,18,4,4,13,13-27,13027,13,27,25483.61378,112,HIGH SCHOOLS,13-27 Albert Einstein HS,137,1293292.74992225,500019.093824521,13-27,Albert Einstein HS, 11135 Newport Mill Rd Kensington MD 20895,-77.0670360162999,39.0396158925,Kensington MD 20895,11135 Newport Mill Rd,-77.0670360162999,25483.6137800337,19217457.9015892,39.0396158925
84,83,1,82,0,9621731.27198,14043.782654,190,8,16,1,3, 4,04-17,04017,04,17,14043.7826099,226,PRIVATE,04-17 B'nai Israel Congregation,185,1275755.00034343,505386.999320492,04-17,B'nai Israel Congregation,6301 Montrose Rd Rockville MD 20852,-77.1288076223208,39.0543027399376,Rockville MD 20852,6301 Montrose Rd,-77.1288076223208,14043.7826099375,9621731.33653549,39.0543027399376
85,86,1,85,0,17698128.8977,17343.133794,187,8,18,4,4,13,13-29,13029,13,29,17343.133997,126,ELEMENTARY SCHOOLS,13-29 Highland ES,139,1294183.99989294,504209.343791261,13-29,Highland ES, 3100 Medway St Silver Spring MD 20902,-77.0639085292,39.0511227000001,Silver Spring MD 20902,3100 Medway St,-77.0639085292,17343.1339970501,17698128.8036676,39.0511227000001
86,87,1,86,0,24233798.0327,28672.1971487,186,8,18,4,4,13,13-44,13044,13,44,28672.1973947,125,ELEMENTARY SCHOOLS,13-44 Arcola ES,150,1301193.51035532,502090.460956752,13-44,Arcola ES, 1820 Franwall Ave Silver Spring MD 20902,-77.0392230157998,39.0453158168942,Silver Spring MD 20902,1820 Franwall Ave,-77.0392230157998,28672.197394598,24233798.1266231,39.0453158168942
87,88,1,87,0,21428377.6896,21805.9030142,185,8,16,1,3, 4,04-13,04013,04,13,21805.902253,41,ELEMENTARY SCHOOLS,04-13 Farmland ES,189,1271074.37501566,502804.875069484,04-13,Farmland ES, 7000 Old Gate Rd Rockville MD 20852,-77.1452755670999,39.0471937956,ROCKVILLE MD 20852,7000 OLD GATE RD,-77.1452755670999,21805.9022529338,21428377.6519752,39.0471937956
88,89,1,88,0,12695538.8787,16222.8307971,197,3,20,5,5, 5,05-05,05005,05,05,57559.925166,222,ELEMENTARY SCHOOLS,05-05 Burnt Mills ES,40,1311783.73468867,499921.58120726,05-05,Burnt Mills ES, 11211 Childs St Silver Spring MD 20901,-77.0019349602356,39.0393673335751,Silver Spring MD 20901,11211 Childs St,-77.0019349602356,57559.9251660293,55396438.1746492,39.0393673335751
89,90,1,89,0,21496453.3876,20021.383152,183,6,16,1,3, 4,04-32,04032,04,32,20021.3830693,168,PRIVATE,04-32 Ivymount School,183,1266261.58087672,502494.044366047,04-32,Ivymount School, 11614 Seven Locks Rd Potomac MD 20854,-77.1622197602882,39.0463181021165,POTOMAC MD 20854,11614 SEVEN LOCKS RD,-77.1622197602882,20021.3830693287,21496453.3793104,39.0463181021165
90,91,1,90,0,31750683.0218,24750.2201028,182,6,15,1,3, 4,04-12,04012,04,12,24750.220073,50,HIGH SCHOOLS,04-12 Winston Churchill HS,19,1263162.12487805,501766.468683511,04-12,Winston Churchill HS, 11300 Gainsborough Rd Potomac MD 20854,-77.1731281364,39.0443047898,Potomac MD 20854,11300 Gainsborough Rd,-77.1731281364,24750.2200729679,31750682.6578466,39.0443047898
91,92,1,91,0,5456206.9774,11218.4469787,180,8,16,3,3, 4,04-28,04028,04,28,11218.4469986,167,PRIVATE,04-28 Bender JCC,26,1276861.83984426,505088.786504105,04-28,Bender Jewish Community Center, 6125 Montrose Rd Rockville MD 20852,-77.1249085451733,39.0534881706044,Rockville MD 20852,6125 Montrose Rd,-77.1249085451733,11218.4469985675,5456206.73101614,39.0534881706044
92,140,1,139,0,13226828.3677,18067.6768489,133,8,19,4,4,13,13-55,13055,13,55,18067.6765251,145,ELEMENTARY SCHOOLS,13-55 Strathmore ES,231,1293759.62507695,516936.749876097,13-55,Strathmore ES, 3200 Beaverwood Ln Silver Spring MD 20906,-77.0654349870999,39.0860669739002,SILVER SPRING MD 20906,3200 BEAVERWOOD LN,-77.0654349870999,18067.6765251137,13226828.4268568,39.0860669739002
93,141,1,140,0,21770108.7272,21552.1836982,132,8,15,3,2, 4,04-24,04024,04,24,21552.1834698,46,ELEMENTARY SCHOOLS,04-24 Lakewood ES,186,1257246.0293977,517675.963703871,04-24,Lakewood ES, 2534 Lindley Ter Rockville MD 20850,-77.1940772943,39.0879540935002,ROCKVILLE MD 20850,2534 LINDLEY TER,-77.1940772943,21552.1834697854,21770108.9500445,39.0879540935002
94,142,1,141,0,43191640.7657,32492.661962,131,8,14,5,5, 5,05-08,05008,05,08,32492.6616397,138,ELEMENTARY SCHOOLS,05-08 William T Page ES,42,1316991.87496138,512866.4999571,05-08,William T Page ES, 13400 Tamarack Rd Silver Spring MD 20904,-76.9835905797,39.0749086167,Silver Spring MD 20904,13400 Tamarack Rd,-76.9835905797,32492.6616397389,43191640.7980168,39.0749086167
95,143,1,142,0,54108655.2156,40400.9439201,130,8,19,4,4,13,13-02,13002,13,02,40400.9443521,124,HIGH SCHOOLS,13-02 John F Kennedy HS,125,1301252.12507364,509532.875044495,13-02,John F Kennedy HS, 1901 Randolph Rd Silver Spring MD 20902,-77.039027838,39.0657502712001,Silver Spring MD 20902,1901 Randolph Rd,-77.039027838,40400.9443521254,54108655.3706984,39.0657502712001
96,145,1,144,0,58808681.8054,41121.6398118,128,8,14,4,5, 5,05-09,05009,05,09,41121.640457,132,ELEMENTARY SCHOOLS,05-09 Westover ES,192,1307216.87492177,512850.437413469,05-09,Westover ES, 401 Hawkesbury Ln Silver Spring MD 20904,-77.0180223922,39.0748642774001,SILVER SPRING MD 20904,401 HAWKESBURY LN,-77.0180223922,41121.6404570464,58808681.7995222,39.0748642774001
97,144,1,143,0,30834691.6471,31050.6291502,129,8,19,4,4,13,13-56,13056,13,56,31050.6291188,140,MIDDLE SCHOOLS,13-56 Argyle MS,160,1298446.87510203,518191.906419754,13-56,Argyle MS, 2400 Bel Pre Rd Silver Spring MD 20906,-77.0489242259999,39.0895212498,Silver Spring MD 20906,2400 Bel Pre Rd,-77.0489242259999,31050.6291188023,30834691.7168978,39.0895212498
98,146,1,145,0,15205908.4622,16492.8115022,127,3,14,5,5, 5,05-21,05021,05,21,16492.8116676,173,PRIVATE,05-21 East County Comm Rec Ctr,52,1328909.01197869,513785.915539607,05-21,East County Community Rec Ctr, 3310 Gateshead Manor Way Silver Spring MD 20904,-76.9416111489344,39.0774196083029,Silver Spring MD 20904,3310 Gateshead Manor Way,-76.9416111489344,16492.8116675341,15205908.1733747,39.0774196083029
99,109,1,108,0,39985687.2882,27750.8792868,164,8,17,3,2, 4,04-30,04030,04,30,27750.8797245,227, ,04-30 St.Elizabeth School,29,1273711.32351317,505574.321914718,04-30,St. Elizabeth Catholic School,917 Montrose Rd Rockville MD 20852,-77.1360052363246,39.0548089262285,Rockville MD 20852,917 Montrose Rd,-77.1360052363246,27750.8797244846,39985687.1181418,39.0548089262285
100,110,1,109,0,18905993.1038,19287.3078297,163,8,18,4,4,13,13-36,13036,13,36,19287.3072854,142,ELEMENTARY SCHOOLS,13-36 Sargent Shriver ES,268,1289856.31784756,508010.61797379,13-36,Sargent Shriver ES, 12518 Greenly St Silver Spring MD 20906,-77.0791590244999,39.0615504152,SILVER SPRING MD 20906,12518 GREENLY DR,-77.0791590244999,19287.3072853655,18905992.8815924,39.0615504152
101,112,1,111,0,24842406.0044,36234.5030718,161,8,18,4,4,13,13-25,13025,13,25,36234.5032338,144,ELEMENTARY SCHOOLS,13-25 Viers Mill ES,138,1288111.25001977,503260.093749002,13-25,Viers Mill ES, 11711 Joseph Mill Rd Silver Spring MD 20906,-77.0852891290999,39.048502748,Silver Spring MD 20906,11711 Joseph Mill Rd,-77.0852891290999,36234.5032337722,24842405.9876957,39.048502748
102,119,1,118,0,19907179.6145,20259.105157,154,8,20,5,5, 5,05-11,05011,05,11,20259.1055078,135,ELEMENTARY SCHOOLS,05-11 Cannon Road ES,43,1313987.75009982,510629.343814969,05-11,Cannon Road ES, 901 Cannon Rd Silver Spring MD 20904,-76.9941729237999,39.0687671595,Silver Spring MD 20904,901 Cannon Rd,-76.9941729237999,20259.1055077603,19907179.7585862,39.0687671595
103,120,1,119,0,31328840.0779,29239.0016423,153,8,20,4,5, 5,05-22,05022,05,22,29239.0009973,137,HIGH SCHOOLS,05-22 Springbrook HS,243,1310719.9998987,506635.687499389,05-22,Springbrook HS, 201 Valley Brook Dr Silver Spring MD 20901,-77.0056814998,39.0578019375001,SILVER SPRING MD 20904,201 VALLEY BROOK DR,-77.0056814998,29239.0009971989,31328839.8966922,39.0578019375001
104,124,1,123,0,13178157.2014,15601.5575256,149,6,19,4,4,13,13-37,13037,13,37,15601.5566624,202,PRIVATE,13-37 St.John's Evangelical Lutheran Ch,144,1285647.12007129,513206.0679553,13-37,St. John's Evangelical Lutheran Church, 4629 Aspen Hill Rd Rockville MD 20853,-77.0940017096046,39.0758043781241,Rockville MD 20853,4629 Aspen Hill Rd,-77.0940017096046,15601.5566623445,13178157.2788579,39.0758043781241
105,125,1,124,0,19573170.0348,19110.0033584,148,8,19,4,4,13,13-35,13035,13,35,19110.003407,141,ELEMENTARY SCHOOLS,13-35 Weller Road ES,146,1293291.99989676,509423.343646899,13-35,Weller Road ES, 3301 Weller Rd Silver Spring MD 20906,-77.0670629799999,39.0654368354001,Silver Spring MD 20906,3301 Weller Rd,-77.0670629799999,19110.0034070451,19573170.1811537,39.0654368354001
106,128,1,127,0,29077506.113,23349.755456,145,8,19,4,4,13,13-01,13001,13,01,23349.755133,146,ELEMENTARY SCHOOLS,13-01 Georgian Forest ES,124,1294886.87499318,513139.374903306,13-01,Georgian Forest ES, 3100 Regina Dr Silver Spring MD 20906,-77.0614546922,39.0756428629001,Silver Spring MD 20906,3100 Regina Dr,-77.0614546922,23349.7551329849,29077505.8018648,39.0756428629001
107,129,1,128,0,9718211.64166,16083.8805529,144,8,15,3,3, 4,04-29,04029,04,29,16083.8803304,49,ELEMENTARY SCHOOLS,04-29 Cold Spring ES,27,1258704.09028845,507207.223343939,04-29,Cold Spring ES, 9201 Falls Chapel Way Potomac MD 20854,-77.1888641310999,39.0592190026002,Potomac MD 20854,9201 Falls Chapel Way,-77.1888641310999,16083.8803303827,9718211.39005333,39.0592190026002
108,130,1,129,0,43391253.6969,28758.1232757,143,3,14,5,5, 5,05-12,05012,05,12,28758.1229009,136,ELEMENTARY SCHOOLS,05-12 Galway ES,45,1327577.87486574,508881.968651503,05-12,Galway ES, 12612 Galway Dr Silver Spring MD 20904,-76.9463103201,39.0639572983002,Silver Spring MD 20904,12612 Galway Dr,-76.9463103201,28758.1229009362,43391253.5566759,39.0639572983002
109,131,1,130,0,25051643.4528,31326.0918375,142,8,17,3,2, 4,04-05,04005,04,05,31326.092068,40,HIGH SCHOOLS,04-05 Richard Montgomery HS,14,1270676.4167228,514515.451419532,04-05,Richard Montgomery HS, 250 Richard Montgomery Dr Rockville MD 20852,-77.1467430843341,39.0793452873863,Rockville MD 20852,250 Richard Montgomery Dr,-77.1467430843341,31326.0920679476,25051643.3954024,39.0793452873863
110,132,1,131,0,15776495.5583,16401.8629407,141,8,17,3,2, 4,04-06,04006,04,06,16401.863403,155,CENTER,04-06 Lone Oak School Center,15,1274452.01275438,514847.843860611,04-06,Lone Oak School Center, 1010 Grandin Ave Rockville MD 20851,-77.1334446810272,39.0802738286826,Rockville MD 20851,1010 Grandin Ave,-77.1334446810272,16401.8634030319,15776495.5283598,39.0802738286826
111,133,1,132,0,16492868.8848,18893.8517738,140,3,14,5,5, 5,05-02,05002,05,02,18893.8515347,131,ELEMENTARY SCHOOLS,05-02 Greencastle ES,39,1328867.49990845,514878.468623653,05-02,Greencastle ES, 13611 Robey Rd Silver Spring MD 20904,-76.9417549221998,39.0804194508,Silver Spring MD 20904,13611 Robey Rd,-76.9417549221998,18893.851534704,16492868.8799172,39.0804194508
112,134,1,133,0,25762061.5744,24101.2818861,139,8,17,3,2, 4,04-02,04002,04,02,24101.2824112,31,MIDDLE SCHOOLS,04-02 Julius West MS,13,1265814.45546848,513639.007475272,04-02,Julius West MS, 651 Great Falls Rd Rockville MD 20850,-77.163864535826,39.0769161702577,Rockville MD 20850,651 Great Falls Rd,-77.163864535826,24101.2824112081,25762061.6501626,39.0769161702577
113,135,1,134,0,271733372.601,85711.0201381,138,6,15,1,3, 6,06-02,06002,06,02,85711.0198623,175,PRIVATE,06-02 SS.Peter & Paul Orthodox Ch,196,1250043.51814815,494453.123450965,06-02,SS. Peter and Paul Orthodox Church, 10620 River Rd Potomac MD 20854,-77.2192557622978,39.0241473218762,POTOMAC MD 20854,10620 RIVER RD,-77.2192557622978,85711.019862363,271733372.809065,39.0241473218762
114,136,1,135,0,23736535.856,24015.8549745,137,8,17,3,2, 4,04-21,04021,04,21,24015.8558357,34,ELEMENTARY SCHOOLS,04-21 Fallsmead ES,24,1262217.37507968,514026.125056341,04-21,Fallsmead ES, 1800 Greenplace Ter Rockville MD 20850,-77.1765379963999,39.0779606450999,Rockville MD 20850,1800 Greenplace Ter,-77.1765379963999,24015.8558357102,23736536.0074661,39.0779606450999
115,137,1,136,0,48209948.3523,30723.5793993,136,3,14,5,5, 5,05-17,05017,05,17,30723.5804405,157,CENTER,05-17 Fairland School Center,241,1324306.20400083,512832.971905559,05-17,Fairland School Center, 13313 Old Columbia Pike Silver Spring MD 20904,-76.9578263721492,39.0748101164007,SILVER SPRING MD 20904,13313 OLD COLUMBIA PIKE,-76.9578263721492,30723.5804404226,48209948.3171401,39.0748101164007
116,138,1,137,0,16485126.0978,21211.3039957,135,6,19,3,4,13,13-45,13045,13,45,21211.3043193,44,MIDDLE SCHOOLS,13-45 Parkland MS,258,1286312.50012909,516245.624912605,13-45,Parkland MS, 4610 W Frankfort Dr Rockville MD 20853,-77.0916686732,39.0841517945,Rockville MD 20853,4610 W Frankfort Dr,-77.0916686732,21211.3043192699,16485125.9715993,39.0841517945
117,165,1,164,0,58058228.4987,41385.1063704,108,8,17,3,2, 4,04-16,04016,04,16,41385.1071267,32,HIGH SCHOOLS,04-16 Thomas S Wootton HS,20,1260325.87509137,513527.781208888,04-16,Thomas S Wootton HS, 2100 Wootton Pkwy Rockville MD 20850,-77.1831974357999,39.0765821359,Rockville MD 20850,2100 Wootton Pkw,-77.1831974357999,41385.1071267723,58058228.2108577,39.0765821359
118,166,1,165,0,49158885.2441,33346.0677506,107,3,14,5,5, 5,05-23,05023,05,23,33346.0673511,174,PRIVATE,05-23 Praisner Comm Rec Ctr,242,1328844.32450448,522670.690584838,05-23,Marilyn J. Praisner Community Rec Center, 14906 Old Columbia Pike Burtonsville MD 20866,-76.9418190678605,39.1018141533727,BURTONSVILLE MD 20866,14906 OLD COLUMBIA PIKE,-76.9418190678605,33346.0673510565,49158885.2086817,39.1018141533727
119,167,1,166,0,7432147.42075,15162.9072766,106,8,19,3,5,13,13-69,13069,13,69,15162.9069951,209,PRIVATE,13-69 Leisure World Clubhouse II,263,1292843.98356536,525061.416760013,13-69,Leisure World Clubhouse II, 3300 N Leisure World Blvd Silver Spring MD 20906,-77.0686823167768,39.1083725303799,SILVER SPRING MD 20906,3300 N LEISURE WORLD BLVD,-77.0686823167768,15162.9069951329,7432147.54697343,39.1083725303799
120,171,1,170,0,43562883.442,35286.0963679,102,6,19,3,5, 8,08-03,08003,08,03,35286.0963555,47,ELEMENTARY SCHOOLS,08-03 Flower Valley ES,78,1285927.99992992,524119.812455222,08-03,Flower Valley ES, 4615 Sunflower Dr Rockville MD 20853,-77.0930515019,39.1057704102,Rockville MD 20853,4615 Sunflower Dr,-77.0930515019,35286.096355468,43562883.7690501,39.1057704102
121,173,1,172,0,41330392.5141,34581.3440732,100,6,15,2,2, 6,06-05,06005,06,05,34581.3447634,95,HIGH SCHOOLS,06-05 Quince Orchard HS,198,1240197.99995078,527908.062512815,06-05,Quince Orchard HS, 15800 Quince Orchard Rd Gaithersburg MD 20878,-77.254239085,39.1159327009001,GAITHERSBURG MD 20878,15800 QUINCE ORCHARD RD,-77.254239085,34581.3447633745,41330392.4498435,39.1159327009001
122,17,1,16,0,7270510.9415,12895.7587409,256,8,18,1,3, 7,07-01,07001,07,01,12895.7590011,,HIGH SCHOOLS,07-01 Bethesda-Chevy Chase HS,,1287043.99988,480798.156262,,Bethesda-Chevy Chase HS,"4301 East West Hwy, Bethesda, MD 20814",-77.08897,38.986826,"Bethesda, MD 20814",4301 East West Hwy,-77.08897,12895.7590011506,7270510.8844461,38.986826
123,26,1,25,0,3558280.0969,10699.2980083,247,8,20,5,4,13,13-10,13010,13,10,10699.2979839,,PRIVATE,13-10 Silver Spring Civic Building,,1305355.705669,484672.340923,,Silver Spring Civic Building,"1 Veterans Pl, Silver Spring, MD 20910",-77.024552,38.997495,"Silver Spring, MD 20910",1 Veterans Pl,-77.024552,10699.2979838572,3558280.03938823,38.997495
124,32,1,31,0,21094271.8262,21041.8285053,241,8,16,1,3, 7,07-08,07008,07,08,21041.82845,,HIGH SCHOOLS,07-08 Bethesda-Chevy Chase HS,,1287043.99988,480798.156262,,Bethesda-Chevy Chase HS,"4301 East West Hwy, Bethesda, MD 20814",-77.08897,38.986826,"Bethesda, MD 20814",4301 East West Hwy,-77.08897,21041.8284500803,21094271.6763519,38.986826
